season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2017,1082612,Kings XI Punjab v Mumbai Indians,"22nd match (N), Indian Premier League at Indore, Apr 20 2017",KXIP,MI,198/4,199/2,Mum Indians won by 8 wickets (with 27 balls remaining)
2017,1082613,Kolkata Knight Riders v Gujarat Lions,"23rd match (N), Indian Premier League at Kolkata, Apr 21 2017",KKR,GL,187/5,188/6,Guj Lions won by 4 wickets (with 10 balls remaining)
2017,1082615,Rising Pune Supergiant v Sunrisers Hyderabad,"24th match (D/N), Indian Premier League at Pune, Apr 22 2017",RPS,SRH,176/3,179/4,Supergiant won by 6 wickets (with 0 balls remaining)
2017,1082614,Mumbai Indians v Delhi Daredevils,"25th match (N), Indian Premier League at Mumbai, Apr 22 2017",MI,DC,142/8,128/7,Mum Indians won by 14 runs
2017,1082616,Gujarat Lions v Kings XI Punjab,"26th match (D/N), Indian Premier League at Rajkot, Apr 23 2017",GL,KXIP,188/7,162/7,Kings XI won by 26 runs
2017,1082617,Kolkata Knight Riders v Royal Challengers Bangalore,"27th match (N), Indian Premier League at Kolkata, Apr 23 2017",KKR,RCB,131,49,KKR won by 82 runs
2017,1082618,Mumbai Indians v Rising Pune Supergiant,"28th match (N), Indian Premier League at Mumbai, Apr 24 2017",MI,RPS,160/6,157/8,Supergiant won by 3 runs
,,,,,,,,
2017,1082620,Rising Pune Supergiant v Kolkata Knight Riders,"30th match (N), Indian Premier League at Pune, Apr 26 2017",RPS,KKR,182/5,184/3,KKR won by 7 wickets (with 11 balls remaining)
2017,1082621,Royal Challengers Bangalore v Gujarat Lions,"31st match (N), Indian Premier League at Bengaluru, Apr 27 2017",RCB,GL,134,135/3,Guj Lions won by 7 wickets (with 37 balls remaining)
2017,1082622,Kolkata Knight Riders v Delhi Daredevils,"32nd match (D/N), Indian Premier League at Kolkata, Apr 28 2017",KKR,DC,160/6,161/3,KKR won by 7 wickets (with 22 balls remaining)
2017,1082623,Kings XI Punjab v Sunrisers Hyderabad,"33rd match (N), Indian Premier League at Mohali, Apr 28 2017",KXIP,SRH,207/3,181/9,Sunrisers won by 26 runs
