season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2024,1422119,Chennai Super Kings v Royal Challengers Bengaluru,"1st Match (N), Indian Premier League at Chennai, Mar 22 2024",CSK,RCB,173/6,176/4,CSK won by 6 wickets (with 8 balls remaining)
2024,1422120,Punjab Kings v Delhi Capitals,"2nd Match (D/N), Indian Premier League at Mohali, Mar 23 2024",PBKS,DC,174/9,177/6,PBKS won by 4 wickets (with 4 balls remaining)
2024,1422121,Kolkata Knight Riders v Sunrisers Hyderabad,"3rd Match (N), Indian Premier League at Kolkata, Mar 23 2024",KKR,SRH,208/7,204/7,KKR won by 4 runs
2024,1422122,Rajasthan Royals v Lucknow Super Giants,"4th Match (D/N), Indian Premier League at Jaipur, Mar 24 2024",RR,LSG,193/4,173/6,RR won by 20 runs
2024,1422123,Gujarat Titans v Mumbai Indians,"5th Match (N), Indian Premier League at Ahmedabad, Mar 24 2024",GT,MI,168/6,162/9,GT won by 6 runs
2024,1422124,Royal Challengers Bengaluru v Punjab Kings,"6th Match (N), Indian Premier League at Bengaluru, Mar 25 2024",RCB,PBKS,176/6,178/6,RCB won by 4 wickets (with 4 balls remaining)
2024,1422125,Chennai Super Kings v Gujarat Titans,"7th Match (N), Indian Premier League at Chennai, Mar 26 2024",CSK,GT,206/6,143/8,CSK won by 63 runs
2024,1422126,Sunrisers Hyderabad v Mumbai Indians,"8th Match (N), Indian Premier League at Hyderabad, Mar 27 2024",SRH,MI,277/3,246/5,SRH won by 31 runs
2024,1422127,Rajasthan Royals v Delhi Capitals,"9th Match (N), Indian Premier League at Jaipur, Mar 28 2024",RR,DC,185/5,173/5,RR won by 12 runs
2024,1422128,Royal Challengers Bengaluru v Kolkata Knight Riders,"10th Match (N), Indian Premier League at Bengaluru, Mar 29 2024",RCB,KKR,182/6,186/3,KKR won by 7 wickets (with 19 balls remaining)
2024,1422129,Lucknow Super Giants v Punjab Kings,"11th Match (N), Indian Premier League at Lucknow, Mar 30 2024",LSG,PBKS,199/8,178/5,LSG won by 21 runs
2024,1422130,Gujarat Titans v Sunrisers Hyderabad,"12th Match (D/N), Indian Premier League at Ahmedabad, Mar 31 2024",GT,SRH,162/8,168/3,GT won by 7 wickets (with 5 balls remaining)
2024,1422131,Delhi Capitals v Chennai Super Kings,"13th Match (N), Indian Premier League at Visakhapatnam, Mar 31 2024",DC,CSK,191/5,171/6,DC won by 20 runs
2024,1422132,Mumbai Indians v Rajasthan Royals,"14th Match (N), Indian Premier League at Mumbai, Apr 1 2024",MI,RR,125/9,127/4,RR won by 6 wickets (with 27 balls remaining)
2024,1422133,Royal Challengers Bengaluru v Lucknow Super Giants,"15th Match (N), Indian Premier League at Bengaluru, Apr 2 2024",RCB,LSG,181/5,153,LSG won by 28 runs
2024,1422134,Delhi Capitals v Kolkata Knight Riders,"16th Match (N), Indian Premier League at Visakhapatnam, Apr 3 2024",DC,KKR,272/7,166,KKR won by 106 runs
2024,1422135,Gujarat Titans v Punjab Kings,"17th Match (N), Indian Premier League at Ahmedabad, Apr 4 2024",GT,PBKS,199/4,200/7,PBKS won by 3 wickets (with 1 ball remaining)
2024,1422136,Sunrisers Hyderabad v Chennai Super Kings,"18th Match (N), Indian Premier League at Hyderabad, Apr 5 2024",SRH,CSK,165/5,166/4,SRH won by 6 wickets (with 11 balls remaining)
2024,1422137,Rajasthan Royals v Royal Challengers Bengaluru,"19th Match (N), Indian Premier League at Jaipur, Apr 6 2024",RR,RCB,183/3,189/4,RR won by 6 wickets (with 5 balls remaining)
2024,1422138,Mumbai Indians v Delhi Capitals,"20th Match (D/N), Indian Premier League at Mumbai, Apr 7 2024",MI,DC,234/5,205/8,MI won by 29 runs
2024,1422139,Lucknow Super Giants v Gujarat Titans,"21st Match (N), Indian Premier League at Lucknow, Apr 7 2024",LSG,GT,163/5,130,LSG won by 33 runs
2024,1426260,Chennai Super Kings v Kolkata Knight Riders,"22nd Match (N), Indian Premier League at Chennai, Apr 8 2024",CSK,KKR,137/9,141/3,CSK won by 7 wickets (with 14 balls remaining)
2024,1426261,Punjab Kings v Sunrisers Hyderabad,"23rd Match (N), Indian Premier League at Mohali, Apr 9 2024",PBKS,SRH,182/9,180/6,SRH won by 2 runs
2024,1426262,Rajasthan Royals v Gujarat Titans,"24th Match (N), Indian Premier League at Jaipur, Apr 10 2024",RR,GT,196/3,199/7,GT won by 3 wickets (with 0 balls remaining)
2024,1426263,Mumbai Indians v Royal Challengers Bengaluru,"25th Match (N), Indian Premier League at Mumbai, Apr 11 2024",MI,RCB,196/8,199/3,MI won by 7 wickets (with 27 balls remaining)
2024,1426264,Lucknow Super Giants v Delhi Capitals,"26th Match (N), Indian Premier League at Lucknow, Apr 12 2024",LSG,DC,167/7,170/4,DC won by 6 wickets (with 11 balls remaining)
2024,1426265,Punjab Kings v Rajasthan Royals,"27th Match (N), Indian Premier League at Mohali, Apr 13 2024",PBKS,RR,147/8,152/7,RR won by 3 wickets (with 1 ball remaining)
2024,1426266,Kolkata Knight Riders v Lucknow Super Giants,"28th Match (D/N), Indian Premier League at Kolkata, Apr 14 2024",KKR,LSG,161/7,162/2,KKR won by 8 wickets (with 26 balls remaining)
2024,1426267,Mumbai Indians v Chennai Super Kings,"29th Match (N), Indian Premier League at Mumbai, Apr 14 2024",MI,CSK,206/4,186/6,CSK won by 20 runs
2024,1426268,Royal Challengers Bengaluru v Sunrisers Hyderabad,"30th Match (N), Indian Premier League at Bengaluru, Apr 15 2024",RCB,SRH,287/3,262/7,SRH won by 25 runs
2024,1426269,Kolkata Knight Riders v Rajasthan Royals,"31st Match (N), Indian Premier League at Kolkata, Apr 16 2024",KKR,RR,223/6,224/8,RR won by 2 wickets (with 0 balls remaining)
2024,1426270,Gujarat Titans v Delhi Capitals,"32nd Match (N), Indian Premier League at Ahmedabad, Apr 17 2024",GT,DC,89,92/4,DC won by 6 wickets (with 67 balls remaining)
2024,1426271,Punjab Kings v Mumbai Indians,"33rd Match (N), Indian Premier League at Mohali, Apr 18 2024",PBKS,MI,192/7,183,MI won by 9 runs
2024,1426272,Lucknow Super Giants v Chennai Super Kings,"34th Match (N), Indian Premier League at Lucknow, Apr 19 2024",LSG,CSK,176/6,180/2,LSG won by 8 wickets (with 6 balls remaining)
2024,1426273,Delhi Capitals v Sunrisers Hyderabad,"35th Match (N), Indian Premier League at Delhi, Apr 20 2024",DC,SRH,266/7,199,SRH won by 67 runs
2024,1426274,Kolkata Knight Riders v Royal Challengers Bengaluru,"36th Match (D/N), Indian Premier League at Kolkata, Apr 21 2024",KKR,RCB,222/6,221,KKR won by 1 run
2024,1426275,Punjab Kings v Gujarat Titans,"37th Match (N), Indian Premier League at Mohali, Apr 21 2024",PBKS,GT,142,146/7,GT won by 3 wickets (with 5 balls remaining)
2024,1426276,Rajasthan Royals v Mumbai Indians,"38th Match (N), Indian Premier League at Jaipur, Apr 22 2024",RR,MI,179/9,183/1,RR won by 9 wickets (with 8 balls remaining)
2024,1426277,Chennai Super Kings v Lucknow Super Giants,"39th Match (N), Indian Premier League at Chennai, Apr 23 2024",CSK,LSG,210/4,213/4,LSG won by 6 wickets (with 3 balls remaining)
2024,1426278,Delhi Capitals v Gujarat Titans,"40th Match (N), Indian Premier League at Delhi, Apr 24 2024",DC,GT,224/4,220/8,DC won by 4 runs
2024,1426279,Sunrisers Hyderabad v Royal Challengers Bengaluru,"41st Match (N), Indian Premier League at Hyderabad, Apr 25 2024",SRH,RCB,206/7,171/8,RCB won by 35 runs
2024,1426280,Kolkata Knight Riders v Punjab Kings,"42nd Match (N), Indian Premier League at Kolkata, Apr 26 2024",KKR,PBKS,261/6,262/2,PBKS won by 8 wickets (with 8 balls remaining)
2024,1426281,Delhi Capitals v Mumbai Indians,"43rd Match (D/N), Indian Premier League at Delhi, Apr 27 2024",DC,MI,257/4,247/9,DC won by 10 runs
2024,1426282,Lucknow Super Giants v Rajasthan Royals,"44th Match (N), Indian Premier League at Lucknow, Apr 27 2024",LSG,RR,196/5,199/3,RR won by 7 wickets (with 6 balls remaining)
2024,1426283,Gujarat Titans v Royal Challengers Bengaluru,"45th Match (D/N), Indian Premier League at Ahmedabad, Apr 28 2024",GT,RCB,200/3,206/1,RCB won by 9 wickets (with 24 balls remaining)
2024,1426284,Chennai Super Kings v Sunrisers Hyderabad,"46th Match (N), Indian Premier League at Chennai, Apr 28 2024",CSK,SRH,212/3,134,CSK won by 78 runs
2024,1426285,Kolkata Knight Riders v Delhi Capitals,"47th Match (N), Indian Premier League at Kolkata, Apr 29 2024",KKR,DC,153/9,157/3,KKR won by 7 wickets (with 21 balls remaining)
2024,1426286,Lucknow Super Giants v Mumbai Indians,"48th Match (N), Indian Premier League at Lucknow, Apr 30 2024",LSG,MI,144/7,145/6,LSG won by 4 wickets (with 4 balls remaining)
2024,1426287,Chennai Super Kings v Punjab Kings,"49th Match (N), Indian Premier League at Chennai, May 1 2024",CSK,PBKS,162/7,163/3,PBKS won by 7 wickets (with 13 balls remaining)
2024,1426288,Sunrisers Hyderabad v Rajasthan Royals,"50th Match (N), Indian Premier League at Hyderabad, May 2 2024",SRH,RR,201/3,200/7,SRH won by 1 run
2024,1426289,Mumbai Indians v Kolkata Knight Riders,"51st Match (N), Indian Premier League at Mumbai, May 3 2024",MI,KKR,169,145,KKR won by 24 runs
2024,1426290,Royal Challengers Bengaluru v Gujarat Titans,"52nd Match (N), Indian Premier League at Bengaluru, May 4 2024",RCB,GT,147,152/6,RCB won by 4 wickets (with 38 balls remaining)
2024,1426291,Punjab Kings v Chennai Super Kings,"53rd Match (D/N), Indian Premier League at Dharamsala, May 5 2024",PBKS,CSK,167/9,139/9,CSK won by 28 runs
2024,1426292,Lucknow Super Giants v Kolkata Knight Riders,"54th Match (N), Indian Premier League at Lucknow, May 5 2024",LSG,KKR,235/6,137,KKR won by 98 runs
2024,1426293,Mumbai Indians v Sunrisers Hyderabad,"55th Match (N), Indian Premier League at Mumbai, May 6 2024",MI,SRH,173/8,174/3,MI won by 7 wickets (with 16 balls remaining)
2024,1426294,Delhi Capitals v Rajasthan Royals,"56th Match (N), Indian Premier League at Delhi, May 7 2024",DC,RR,221/8,201/8,DC won by 20 runs
2024,1426295,Sunrisers Hyderabad v Lucknow Super Giants,"57th Match (N), Indian Premier League at Hyderabad, May 8 2024",SRH,LSG,165/4,167/0,SRH won by 10 wickets (with 62 balls remaining)
2024,1426296,Punjab Kings v Royal Challengers Bengaluru,"58th Match (N), Indian Premier League at Dharamsala, May 9 2024",PBKS,RCB,241/7,181,RCB won by 60 runs
2024,1426297,Gujarat Titans v Chennai Super Kings,"59th Match (N), Indian Premier League at Ahmedabad, May 10 2024",GT,CSK,231/3,196/8,GT won by 35 runs
2024,1426298,Kolkata Knight Riders v Mumbai Indians,"60th Match (N), Indian Premier League at Kolkata, May 11 2024",KKR,MI,157/7,139/8,KKR won by 18 runs
2024,1426299,Chennai Super Kings v Rajasthan Royals,"61st Match (D/N), Indian Premier League at Chennai, May 12 2024",CSK,RR,141/5,145/5,CSK won by 5 wickets (with 10 balls remaining)
2024,1426300,Royal Challengers Bengaluru v Delhi Capitals,"62nd Match (N), Indian Premier League at Bengaluru, May 12 2024",RCB,DC,187/9,140,RCB won by 47 runs
,,,,,,,,
2024,1426302,Delhi Capitals v Lucknow Super Giants,"64th Match (N), Indian Premier League at Delhi, May 14 2024",DC,LSG,208/4,189/9,DC won by 19 runs
2024,1426303,Rajasthan Royals v Punjab Kings,"65th Match (N), Indian Premier League at Guwahati, May 15 2024",RR,PBKS,144/9,145/5,PBKS won by 5 wickets (with 7 balls remaining)
,,,,,,,,
2024,1426305,Mumbai Indians v Lucknow Super Giants,"67th Match (N), Indian Premier League at Mumbai, May 17 2024",MI,LSG,214/6,196/6,LSG won by 18 runs
2024,1426306,Royal Challengers Bengaluru v Chennai Super Kings,"68th Match (N), Indian Premier League at Bengaluru, May 18 2024",RCB,CSK,218/5,191/7,RCB won by 27 runs
2024,1426307,Sunrisers Hyderabad v Punjab Kings,"69th Match (D/N), Indian Premier League at Hyderabad, May 19 2024",SRH,PBKS,214/5,215/6,SRH won by 4 wickets (with 5 balls remaining)
,,,,,,,,
2024,1426309,Kolkata Knight Riders v Sunrisers Hyderabad,"Qualifier 1 (N), Indian Premier League at Ahmedabad, May 21 2024",KKR,SRH,159,164/2,KKR won by 8 wickets (with 38 balls remaining)
2024,1426310,Rajasthan Royals v Royal Challengers Bengaluru,"Eliminator (N), Indian Premier League at Ahmedabad, May 22 2024",RR,RCB,172/8,174/6,RR won by 4 wickets (with 6 balls remaining)
2024,1426311,Sunrisers Hyderabad v Rajasthan Royals,"Qualifier 2 (N), Indian Premier League at Chennai, May 24 2024",SRH,RR,175/9,139/7,SRH won by 36 runs
2024,1426312,Kolkata Knight Riders v Sunrisers Hyderabad,"Final (N), Indian Premier League at Chennai, May 26 2024",KKR,SRH,113,114/2,KKR won by 8 wickets (with 57 balls remaining)
2023,1359475,Gujarat Titans v Chennai Super Kings,"1st Match (N), Indian Premier League at Ahmedabad, Mar 31 2023",GT,CSK,178/7,182/5,Titans won by 5 wkts (4b rem)
2023,1359476,Punjab Kings v Kolkata Knight Riders,"2nd Match (D/N), Indian Premier League at Chandigarh, Apr 1 2023",PBKS,KKR,191/5,146/7,Punjab Kings won by 7 runs (DLS)
2023,1359477,Lucknow Super Giants v Delhi Capitals,"3rd Match (N), Indian Premier League at Lucknow, Apr 1 2023",LSG,DC,193/6,143/9,Super Giants won by 50 runs
2023,1359478,Sunrisers Hyderabad v Rajasthan Royals,"4th Match (D/N), Indian Premier League at Hyderabad, Apr 2 2023",SRH,RR,203/5,131/8,Royals won by 72 runs
2023,1359479,Royal Challengers Bangalore v Mumbai Indians,"5th Match (N), Indian Premier League at Bengaluru, Apr 2 2023",RCB,MI,171/7,172/2,RCB won by 8 wkts (22b rem)
2023,1359480,Chennai Super Kings v Lucknow Super Giants,"6th Match (N), Indian Premier League at Chennai, Apr 3 2023",CSK,LSG,217/7,205/7,Super Kings won by 12 runs
2023,1359481,Delhi Capitals v Gujarat Titans,"7th Match (N), Indian Premier League at Delhi, Apr 4 2023",DC,GT,162/8,163/4,Titans won by 6 wkts (11b rem)
2023,1359482,Rajasthan Royals v Punjab Kings,"8th Match (N), Indian Premier League at Guwahati, Apr 5 2023",RR,PBKS,197/4,192/7,Punjab Kings won by 5 runs
2023,1359483,Kolkata Knight Riders v Royal Challengers Bangalore,"9th Match (N), Indian Premier League at Kolkata, Apr 6 2023",KKR,RCB,204/7,123,KKR won by 81 runs
2023,1359484,Lucknow Super Giants v Sunrisers Hyderabad,"10th Match (N), Indian Premier League at Lucknow, Apr 7 2023",LSG,SRH,121/8,127/5,Super Giants won by 5 wkts (24b rem)
2023,1359485,Rajasthan Royals v Delhi Capitals,"11th Match (D/N), Indian Premier League at Guwahati, Apr 8 2023",RR,DC,199/4,142/9,Royals won by 57 runs
2023,1359486,Mumbai Indians v Chennai Super Kings,"12th Match (N), Indian Premier League at Mumbai, Apr 8 2023",MI,CSK,157/8,159/3,Super Kings won by 7 wkts (11b rem)
2023,1359487,Gujarat Titans v Kolkata Knight Riders,"13th Match (D/N), Indian Premier League at Ahmedabad, Apr 9 2023",GT,KKR,204/4,207/7,KKR won by 3 wkts (0b rem)
2023,1359488,Sunrisers Hyderabad v Punjab Kings,"14th Match (N), Indian Premier League at Hyderabad, Apr 9 2023",SRH,PBKS,143/9,145/2,Sunrisers won by 8 wkts (17b rem)
2023,1359489,Royal Challengers Bangalore v Lucknow Super Giants,"15th Match (N), Indian Premier League at Bengaluru, Apr 10 2023",RCB,LSG,212/2,213/9,Super Giants won by 1 wkt (0b rem)
2023,1359490,Delhi Capitals v Mumbai Indians,"16th Match (N), Indian Premier League at Delhi, Apr 11 2023",DC,MI,172,173/4,Mumbai won by 6 wkts (0b rem)
2023,1359491,Chennai Super Kings v Rajasthan Royals,"17th Match (N), Indian Premier League at Chennai, Apr 12 2023",CSK,RR,175/8,172/6,Royals won by 3 runs
2023,1359492,Punjab Kings v Gujarat Titans,"18th Match (N), Indian Premier League at Chandigarh, Apr 13 2023",PBKS,GT,153/8,154/4,Titans won by 6 wkts (1b rem)
2023,1359493,Kolkata Knight Riders v Sunrisers Hyderabad,"19th Match (N), Indian Premier League at Kolkata, Apr 14 2023",KKR,SRH,228/4,205/7,Sunrisers won by 23 runs
2023,1359494,Royal Challengers Bangalore v Delhi Capitals,"20th Match (D/N), Indian Premier League at Bengaluru, Apr 15 2023",RCB,DC,174/6,151/9,RCB won by 23 runs
2023,1359495,Lucknow Super Giants v Punjab Kings,"21st Match (N), Indian Premier League at Lucknow, Apr 15 2023",LSG,PBKS,159/8,161/8,Punjab Kings won by 2 wkts (3b rem)
2023,1359496,Mumbai Indians v Kolkata Knight Riders,"22nd Match (D/N), Indian Premier League at Mumbai, Apr 16 2023",KKR,MI,,,Mumbai won by 5 wkts (14b rem)
2023,1359497,Gujarat Titans v Rajasthan Royals,"23rd Match (N), Indian Premier League at Ahmedabad, Apr 16 2023",GT,RR,177/7,179/7,Royals won by 3 wkts (4b rem)
2023,1359498,Royal Challengers Bangalore v Chennai Super Kings,"24th Match (N), Indian Premier League at Bengaluru, Apr 17 2023",RCB,CSK,226/6,218/8,Super Kings won by 8 runs
2023,1359499,Sunrisers Hyderabad v Mumbai Indians,"25th Match (N), Indian Premier League at Hyderabad, Apr 18 2023",SRH,MI,192/5,178,Mumbai won by 14 runs
2023,1359500,Rajasthan Royals v Lucknow Super Giants,"26th Match (N), Indian Premier League at Jaipur, Apr 19 2023",RR,LSG,154/7,144/6,Super Giants won by 10 runs
2023,1359501,Punjab Kings v Royal Challengers Bangalore,"27th Match (D/N), Indian Premier League at Chandigarh, Apr 20 2023",PBKS,RCB,174/4,150,RCB won by 24 runs
2023,1359502,Delhi Capitals v Kolkata Knight Riders,"28th Match (N), Indian Premier League at Delhi, Apr 20 2023",DC,KKR,127,128/6,Capitals won by 4 wkts (4b rem)
2023,1359503,Chennai Super Kings v Sunrisers Hyderabad,"29th Match (N), Indian Premier League at Chennai, Apr 21 2023",CSK,SRH,134/7,138/3,Super Kings won by 7 wkts (8b rem)
2023,1359504,Lucknow Super Giants v Gujarat Titans,"30th Match (D/N), Indian Premier League at Lucknow, Apr 22 2023",LSG,GT,135/6,128/7,Titans won by 7 runs
2023,1359505,Mumbai Indians v Punjab Kings,"31st Match (N), Indian Premier League at Mumbai, Apr 22 2023",MI,PBKS,214/8,201/6,Punjab Kings won by 13 runs
2023,1359506,Royal Challengers Bangalore v Rajasthan Royals,"32nd Match (D/N), Indian Premier League at Bengaluru, Apr 23 2023",RCB,RR,189/9,182/6,RCB won by 7 runs
2023,1359507,Kolkata Knight Riders v Chennai Super Kings,"33rd Match (N), Indian Premier League at Kolkata, Apr 23 2023",KKR,CSK,235/4,186/8,Super Kings won by 49 runs
2023,1359508,Sunrisers Hyderabad v Delhi Capitals,"34th Match (N), Indian Premier League at Hyderabad, Apr 24 2023",SRH,DC,144/9,137/6,Capitals won by 7 runs
2023,1359509,Gujarat Titans v Mumbai Indians,"35th Match (N), Indian Premier League at Ahmedabad, Apr 25 2023",GT,MI,207/6,152/9,Titans won by 55 runs
2023,1359510,Royal Challengers Bangalore v Kolkata Knight Riders,"36th Match (N), Indian Premier League at Bengaluru, Apr 26 2023",RCB,KKR,200/5,179/8,KKR won by 21 runs
2023,1359511,Rajasthan Royals v Chennai Super Kings,"37th Match (N), Indian Premier League at Jaipur, Apr 27 2023",RR,CSK,202/5,170/6,Royals won by 32 runs
2023,1359512,Punjab Kings v Lucknow Super Giants,"38th Match (N), Indian Premier League at Chandigarh, Apr 28 2023",PBKS,LSG,257/5,201,Super Giants won by 56 runs
2023,1359513,Kolkata Knight Riders v Gujarat Titans,"39th Match (D/N), Indian Premier League at Kolkata, Apr 29 2023",KKR,GT,179/7,180/3,Titans won by 7 wkts (13b rem)
2023,1359514,Delhi Capitals v Sunrisers Hyderabad,"40th Match (N), Indian Premier League at Delhi, Apr 29 2023",DC,SRH,197/6,188/6,Sunrisers won by 9 runs
2023,1359515,Chennai Super Kings v Punjab Kings,"41st Match (D/N), Indian Premier League at Chennai, Apr 30 2023",CSK,PBKS,200/4,201/6,Punjab Kings won by 4 wkts (0b rem)
2023,1359516,Mumbai Indians v Rajasthan Royals,"42nd Match (N), Indian Premier League at Mumbai, Apr 30 2023",MI,RR,212/7,214/4,Mumbai won by 6 wkts (3b rem)
2023,1359517,Lucknow Super Giants v Royal Challengers Bangalore,"43rd Match (N), Indian Premier League at Lucknow, May 1 2023",LSG,RCB,126/9,108,RCB won by 18 runs
2023,1359518,Gujarat Titans v Delhi Capitals,"44th Match (N), Indian Premier League at Ahmedabad, May 2 2023",GT,DC,130/8,125/6,Capitals won by 5 runs
,,,,,,,,
2023,1359520,Punjab Kings v Mumbai Indians,"46th Match (N), Indian Premier League at Chandigarh, May 3 2023",PBKS,MI,214/3,216/4,Mumbai won by 6 wkts (7b rem)
2023,1359521,Sunrisers Hyderabad v Kolkata Knight Riders,"47th Match (N), Indian Premier League at Hyderabad, May 4 2023",SRH,KKR,171/9,166/8,KKR won by 5 runs
2023,1359522,Rajasthan Royals v Gujarat Titans,"48th Match (N), Indian Premier League at Jaipur, May 5 2023",RR,GT,118,119/1,Titans won by 9 wkts (37b rem)
2023,1359523,Chennai Super Kings v Mumbai Indians,"49th Match (D/N), Indian Premier League at Chennai, May 6 2023",CSK,MI,139/8,140/4,Super Kings won by 6 wkts (14b rem)
2023,1359524,Delhi Capitals v Royal Challengers Bangalore,"50th Match (N), Indian Premier League at Delhi, May 6 2023",DC,RCB,181/4,187/3,Capitals won by 7 wkts (20b rem)
2023,1359525,Gujarat Titans v Lucknow Super Giants,"51st Match (D/N), Indian Premier League at Ahmedabad, May 7 2023",GT,LSG,227/2,171/7,Titans won by 56 runs
2023,1359526,Rajasthan Royals v Sunrisers Hyderabad,"52nd Match (N), Indian Premier League at Jaipur, May 7 2023",RR,SRH,214/2,217/6,Sunrisers won by 4 wkts (0b rem)
2023,1359527,Kolkata Knight Riders v Punjab Kings,"53rd Match (N), Indian Premier League at Kolkata, May 8 2023",KKR,PBKS,179/7,182/5,KKR won by 5 wkts (0b rem)
2023,1359528,Mumbai Indians v Royal Challengers Bangalore,"54th Match (N), Indian Premier League at Mumbai, May 9 2023",MI,RCB,199/6,200/4,Mumbai won by 6 wkts (21b rem)
2023,1359529,Chennai Super Kings v Delhi Capitals,"55th Match (N), Indian Premier League at Chennai, May 10 2023",CSK,DC,167/8,140/8,Super Kings won by 27 runs
2023,1359530,Kolkata Knight Riders v Rajasthan Royals,"56th Match (N), Indian Premier League at Kolkata, May 11 2023",KKR,RR,149/8,151/1,Royals won by 9 wkts (41b rem)
2023,1359531,Mumbai Indians v Gujarat Titans,"57th Match (N), Indian Premier League at Mumbai, May 12 2023",MI,GT,218/5,191/8,Mumbai won by 27 runs
2023,1359532,Sunrisers Hyderabad v Lucknow Super Giants,"58th Match (D/N), Indian Premier League at Hyderabad, May 13 2023",SRH,LSG,182/6,185/3,Super Giants won by 7 wkts (4b rem)
2023,1359533,Delhi Capitals v Punjab Kings,"59th Match (N), Indian Premier League at Delhi, May 13 2023",DC,PBKS,167/7,136/8,Punjab Kings won by 31 runs
2023,1359534,Rajasthan Royals v Royal Challengers Bangalore,"60th Match (D/N), Indian Premier League at Jaipur, May 14 2023",RR,RCB,171/5,59,RCB won by 112 runs
2023,1359535,Chennai Super Kings v Kolkata Knight Riders,"61st Match (N), Indian Premier League at Chennai, May 14 2023",CSK,KKR,144/6,147/4,KKR won by 6 wkts (9b rem)
2023,1359536,Gujarat Titans v Sunrisers Hyderabad,"62nd Match (N), Indian Premier League at Ahmedabad, May 15 2023",GT,SRH,188/9,154/9,Titans won by 34 runs
2023,1359537,Lucknow Super Giants v Mumbai Indians,"63rd Match (N), Indian Premier League at Lucknow, May 16 2023",LSG,MI,177/3,172/5,Super Giants won by 5 runs
2023,1359538,Punjab Kings v Delhi Capitals,"64th Match (N), Indian Premier League at Dharamsala, May 17 2023",DC,PBKS,,,Capitals won by 15 runs
2023,1359539,Sunrisers Hyderabad v Royal Challengers Bangalore,"65th Match (N), Indian Premier League at Hyderabad, May 18 2023",SRH,RCB,186/5,187/2,RCB won by 8 wkts (4b rem)
2023,1359540,Punjab Kings v Rajasthan Royals,"66th Match (N), Indian Premier League at Dharamsala, May 19 2023",PBKS,RR,187/5,189/6,Royals won by 4 wkts (2b rem)
2023,1359541,Delhi Capitals v Chennai Super Kings,"67th Match (D/N), Indian Premier League at Delhi, May 20 2023",DC,CSK,223/3,146/9,Super Kings won by 77 runs
2023,1359542,Kolkata Knight Riders v Lucknow Super Giants,"68th Match (N), Indian Premier League at Kolkata, May 20 2023",KKR,LSG,176/8,175/7,Super Giants won by 1 run
2023,1359543,Mumbai Indians v Sunrisers Hyderabad,"69th Match (D/N), Indian Premier League at Mumbai, May 21 2023",MI,SRH,200/5,201/2,Mumbai won by 8 wkts (12b rem)
2023,1359544,Royal Challengers Bangalore v Gujarat Titans,"70th Match (N), Indian Premier League at Bengaluru, May 21 2023",RCB,GT,197/5,198/4,Titans won by 6 wkts (5b rem)
2023,1370350,Chennai Super Kings v Gujarat Titans,"Qualifier 1 (N), Indian Premier League at Chennai, May 23 2023",CSK,GT,172/7,157,Super Kings won by 15 runs
2023,1370351,Lucknow Super Giants v Mumbai Indians,"Eliminator (N), Indian Premier League at Chennai, May 24 2023",LSG,MI,182/8,101,Mumbai won by 81 runs
2023,1370352,Gujarat Titans v Mumbai Indians,"Qualifier 2 (N), Indian Premier League at Ahmedabad, May 26 2023",GT,MI,233/3,171,Titans won by 62 runs
2023,1370353,Gujarat Titans v Chennai Super Kings,"Final (N), Indian Premier League at Ahmedabad, May 28-29 2023",GT,CSK,214/4,171/5,Super Kings won by 5 wkts (0b rem) (DLS)
2022,1304047,Chennai Super Kings v Kolkata Knight Riders,"1st Match (N), Indian Premier League at Mumbai, Mar 26 2022",CSK,KKR,131/5,133/4,KKR won by 6 wkts (9b rem)
2022,1304048,Delhi Capitals v Mumbai Indians,"2nd Match (D/N), Indian Premier League at Mumbai, Mar 27 2022",DC,MI,177/5,179/6,Capitals won by 4 wkts (10b rem)
2022,1304049,Punjab Kings v Royal Challengers Bangalore,"3rd Match (N), Indian Premier League at Navi Mumbai, Mar 27 2022",PBKS,RCB,205/2,208/5,Punjab Kings won by 5 wkts (6b rem)
2022,1304050,Gujarat Titans v Lucknow Super Giants,"4th Match (N), Indian Premier League at Mumbai, Mar 28 2022",GT,LSG,158/6,161/5,Titans won by 5 wkts (2b rem)
2022,1304051,Sunrisers Hyderabad v Rajasthan Royals,"5th Match (N), Indian Premier League at Pune, Mar 29 2022",SRH,RR,210/6,149/7,Royals won by 61 runs
2022,1304052,Royal Challengers Bangalore v Kolkata Knight Riders,"6th Match (N), Indian Premier League at Navi Mumbai, Mar 30 2022",RCB,KKR,128,132/7,RCB won by 3 wkts (4b rem)
2022,1304053,Lucknow Super Giants v Chennai Super Kings,"7th Match (N), Indian Premier League at Mumbai, Mar 31 2022",LSG,CSK,210/7,211/4,Super Giants won by 6 wkts (3b rem)
2022,1304054,Kolkata Knight Riders v Punjab Kings,"8th Match (N), Indian Premier League at Mumbai, Apr 1 2022",KKR,PBKS,137,141/4,KKR won by 6 wkts (33b rem)
2022,1304055,Mumbai Indians v Rajasthan Royals,"9th Match (D/N), Indian Premier League at Navi Mumbai, Apr 2 2022",MI,RR,193/8,170/8,Royals won by 23 runs
2022,1304056,Gujarat Titans v Delhi Capitals,"10th Match (N), Indian Premier League at Pune, Apr 2 2022",GT,DC,171/6,157/9,Titans won by 14 runs
